creator_id,creator_name,work_id,work_name
Q302605,AARON ROSENBERG,Q2248334,THE BENNY GOODMAN STORY
Q302605,AARON ROSENBERG,Q854532,FATE IS THE HUNTER
Q302605,AARON ROSENBERG,Q2363384,WALK THE PROUD LAND
Q302605,AARON ROSENBERG,Q2493780,THE GREAT MAN
Q302605,AARON ROSENBERG,Q2756984,BACKLASH
Q302605,AARON ROSENBERG,Q1216985,NIGHT PASSAGE
Q302605,AARON ROSENBERG,Q2490597,JOE BUTTERFLY
Q302605,AARON ROSENBERG,Q5475202,FOUR GIRLS IN TOWN
Q302605,AARON ROSENBERG,Q1510303,THE BADLANDERS
Q302605,AARON ROSENBERG,Q2697140,SIX BRIDGES TO CROSS
Q302605,AARON ROSENBERG,Q3684357,IT STARTED WITH A KISS
Q302605,AARON ROSENBERG,Q4007124,GO NAKED IN THE WORLD
Q302605,AARON ROSENBERG,Q1214242,LADY IN CEMENT
Q302605,AARON ROSENBERG,Q59084,MUTINY ON THE BOUNTY
Q302605,AARON ROSENBERG,Q788284,CAPRICE
Q302605,AARON ROSENBERG,Q925809,THE DETECTIVE
Q302605,AARON ROSENBERG,Q878908,DO NOT DISTURB
Q302605,AARON ROSENBERG,Q541414,MORITURI
Q302605,AARON ROSENBERG,Q7719632,THE BOY WHO CRIED WEREWOLF
Q302605,AARON ROSENBERG,Q948836,"MOVE OVER, DARLING"
Q302605,AARON ROSENBERG,Q632501,TONY ROME
Q302605,AARON ROSENBERG,Q1523236,MAN WITHOUT A STAR
Q302605,AARON ROSENBERG,Q17011994,THE SHRIKE
Q302605,AARON ROSENBERG,Q230304,TO HELL AND BACK
Q302605,AARON ROSENBERG,Q29011379,THE STORY OF MOLLY X
Q302605,AARON ROSENBERG,Q1425480,WINCHESTER '73
Q302605,AARON ROSENBERG,Q3681903,JOHNNY STOOL PIGEON
Q302605,AARON ROSENBERG,Q3822498,OUTSIDE THE WALL
Q302605,AARON ROSENBERG,Q7303846,RED CANYON
Q302605,AARON ROSENBERG,Q3820040,IRON MAN
Q302605,AARON ROSENBERG,Q4697775,AIR CADET
Q302605,AARON ROSENBERG,Q5054096,CATTLE DRIVE
Q302605,AARON ROSENBERG,Q7759279,THE RAGING TIDE
Q302605,AARON ROSENBERG,Q20814760,SMOKY
Q302605,AARON ROSENBERG,Q1026650,RED BALL EXPRESS
Q302605,AARON ROSENBERG,Q1926164,BEND OF THE RIVER
Q302605,AARON ROSENBERG,Q5535549,HERE COME THE NELSONS
Q302605,AARON ROSENBERG,Q1090658,THUNDER BAY
Q302605,AARON ROSENBERG,Q1026724,THE MAN FROM THE ALAMO
Q302605,AARON ROSENBERG,Q3458261,WINGS OF THE HAWK
Q302605,AARON ROSENBERG,Q7713137,THE ALL AMERICAN
Q302605,AARON ROSENBERG,Q331039,THE FAR COUNTRY
Q302605,AARON ROSENBERG,Q698962,THE GLENN MILLER STORY
Q302605,AARON ROSENBERG,Q2045673,SASKATCHEWAN
Q302605,AARON ROSENBERG,Q1625975,THE WORLD IN HIS ARMS
Q302605,AARON ROSENBERG,Q7499842,SHOCK TREATMENT
Q395096,AGNES GODARD,Q1185105,AU PLUS PRES DU PARADIS
Q395096,AGNES GODARD,Q3555451,VENDREDI SOIR
Q395096,AGNES GODARD,Q2605684,STRAYED
Q395096,AGNES GODARD,Q2605684,LES EGARES
Q395096,AGNES GODARD,Q110620537,LA LIGNE
Q395096,AGNES GODARD,Q3204273,THE INTRUDER
Q395096,AGNES GODARD,Q2630299,WILD SIDE
Q395096,AGNES GODARD,Q3204273,L'INTRUS
Q395096,AGNES GODARD,Q2878435,BACKSTAGE
Q395096,AGNES GODARD,Q113549,NUOVOMONDO
Q395096,AGNES GODARD,Q230616,HUNTING AND GATHERING
Q395096,AGNES GODARD,Q1185105,NEAREST TO HEAVEN
Q395096,AGNES GODARD,Q112633,LA REPETITION
Q395096,AGNES GODARD,Q3201388,THE ABSENCE
Q395096,AGNES GODARD,Q112633,REPLAY
Q395096,AGNES GODARD,Q3201388,L'ABSENCE
Q395096,AGNES GODARD,Q3156595,I CAN'T SLEEP
Q395096,AGNES GODARD,Q2288599,CHAMBRE 666
Q395096,AGNES GODARD,Q230616,"ENSEMBLE, C'EST TOUT"
Q395096,AGNES GODARD,Q2288599,ROOM 666
Q395096,AGNES GODARD,Q3156595,J'AI PAS SOMMEIL
Q395096,AGNES GODARD,Q1193562,BEAU TRAVAIL
Q395096,AGNES GODARD,Q3347054,NENETTE ET BONI
Q395096,AGNES GODARD,Q1708290,THE DREAMLIFE OF ANGELS
Q395096,AGNES GODARD,Q1708290,LA VIE REVEE DES ANGES
Q395096,AGNES GODARD,Q63991,TROUBLE EVERY DAY
Q395096,AGNES GODARD,Q666600,HOME
Q395096,AGNES GODARD,Q967170,OU VA LA NUIT
Q395096,AGNES GODARD,Q17297839,PARIS FOLLIES
Q395096,AGNES GODARD,Q28495869,UN BEAU SOLEIL INTERIEUR
Q395096,AGNES GODARD,Q28495869,LET THE SUNSHINE IN
Q395096,AGNES GODARD,Q54956954,"KACEY MOTTET KLEIN, NAISSANCE D'UN ACTEUR"
Q395096,AGNES GODARD,Q17297839,LA RITOURNELLE
Q395096,AGNES GODARD,Q2816310,35 SHOTS OF RUM
Q395096,AGNES GODARD,Q16827802,LOS INSOLITOS PECES GATO
Q395096,AGNES GODARD,Q18389665,THE FALLING
Q395096,AGNES GODARD,Q16827802,THE AMAZING CATFISH
Q395096,AGNES GODARD,Q3235299,LES SALAUDS
Q395096,AGNES GODARD,Q3235299,BASTARDS
Q395096,AGNES GODARD,Q110620537,THE LINE
Q395096,AGNES GODARD,Q870091,SISTER
Q395096,AGNES GODARD,Q870091,L'ENFANT D'EN HAUT
Q395096,AGNES GODARD,Q1199219,TRESOR
Q395096,AGNES GODARD,Q1210944,LEAVING
Q395096,AGNES GODARD,Q2816310,35 RHUMS
Q395096,AGNES GODARD,Q2471731,LIGHTS OUT
Q395096,AGNES GODARD,Q2471731,SIMON WERNER A DISPARU...
Q229990,AGNES VARDA,Q2493884,THE GLEANERS AND I
Q229990,AGNES VARDA,Q3236309,LES DEMOISELLES ONT EU 25 ANS
Q229990,AGNES VARDA,Q63993096,VARDA PAR AGNES
Q229990,AGNES VARDA,Q3236309,THE YOUNG GIRLS TURN 25
Q229990,AGNES VARDA,Q63993096,VARDA BY AGNES
Q229990,AGNES VARDA,Q105634920,AGNES VARDA
Q229990,AGNES VARDA,Q3160388,JACQUOT DE NANTES
Q229990,AGNES VARDA,Q1217734,KUNG-FU MASTER
Q229990,AGNES VARDA,Q3161846,JANE B. PAR AGNES V.
Q229990,AGNES VARDA,Q1217734,KUNG FU MASTER
Q229990,AGNES VARDA,Q2298257,SANS TOIT NI LOI
Q229990,AGNES VARDA,Q77855044,WOMEN MAKE FILM: A NEW ROAD MOVIE THROUGH CINEMA
Q229990,AGNES VARDA,Q77855044,WOMEN MAKE FILM
Q229990,AGNES VARDA,Q2493884,LES GLANEURS ET LA GLANEUSE
Q229990,AGNES VARDA,Q29406094,FACES PLACES
Q229990,AGNES VARDA,Q29406094,"VISAGES, VILLAGES"
Q229990,AGNES VARDA,Q1547511,ONE HUNDRED AND ONE NIGHTS
Q229990,AGNES VARDA,Q2298257,VAGABOND
Q229990,AGNES VARDA,Q3204825,THE WORLD OF JACQUES DEMY
Q229990,AGNES VARDA,Q1547511,LES CENT ET UNE NUITS DE SIMON CINEMA
Q229990,AGNES VARDA,Q2709504,LES PLAGES D'AGNES
Q229990,AGNES VARDA,Q570780,THE TRUTH ABOUT CHARLIE
Q229990,AGNES VARDA,Q3204825,L'UNIVERS DE JACQUES DEMY
Q229990,AGNES VARDA,Q497308,AMERICANO
Q229990,AGNES VARDA,Q3414147,QUELQUES VEUVES DE NOIRMOUTIER
Q229990,AGNES VARDA,Q2709504,THE BEACHES OF AGNES
Q229990,AGNES VARDA,Q3033632,DOCUMENTEUR
Q229990,AGNES VARDA,Q1168501,HAPPINESS
Q229990,AGNES VARDA,Q1168501,LE BONHEUR
Q229990,AGNES VARDA,Q3328223,MUR MURS
Q229990,AGNES VARDA,Q3328223,MURAL MURALS
Q229990,AGNES VARDA,Q3231865,LES CREATURES
Q229990,AGNES VARDA,Q3258662,FAR FROM VIETNAM
Q229990,AGNES VARDA,Q3258662,LOIN DU VIETNAM
Q229990,AGNES VARDA,Q2905436,BLACK PANTHERS
Q229990,AGNES VARDA,Q3241992,LIONS LOVE
Q229990,AGNES VARDA,Q3205011,"L'UNE CHANTE, L'AUTRE PAS"
Q229990,AGNES VARDA,Q3205011,"ONE SINGS, THE OTHER DOESN'T"
Q229990,AGNES VARDA,Q570567,LAST TANGO IN PARIS
Q229990,AGNES VARDA,Q3456335,WOMEN REPLY
Q229990,AGNES VARDA,Q570567,ULTIMO TANGO A PARIGI
Q229990,AGNES VARDA,Q2818437,"7P., CUIS., S. DE B., ...A SAISIR"
Q229990,AGNES VARDA,Q3232133,THE SO-CALLED CARYATIDS
Q229990,AGNES VARDA,Q3232133,LES DITES CARIATIDES
Q229990,AGNES VARDA,Q2818437,"7P., CUIS., S. DE B., ... A SAISIR"
Q229990,AGNES VARDA,Q1199628,CLEO FROM 5 TO 7
Q229990,AGNES VARDA,Q1199628,CLEO DE 5 A 7
Q229990,AGNES VARDA,Q1503132,LA POINTE COURTE
Q229990,AGNES VARDA,Q3232596,LES FIANCES DU PONT MAC DONALD OU MEFIEZ-VOUS DES LUNETTES NOIRES
Q229990,AGNES VARDA,Q3232596,THE FIANCES OF THE BRIDGE MAC DONALD
Q707079,BILL LANCASTER,Q210756,THE THING
Q707079,BILL LANCASTER,Q1211829,THE BAD NEWS BEARS
Q707079,BILL LANCASTER,Q1211837,BAD NEWS BEARS
Q707079,BILL LANCASTER,Q1672088,MOSES THE LAWGIVER
Q707079,BILL LANCASTER,Q7715288,THE BAD NEWS BEARS GO TO JAPAN
Q441510,CATE SHORTLAND,Q1513503,SOMERSAULT
Q441510,CATE SHORTLAND,Q421583,LORE
Q441510,CATE SHORTLAND,Q23894626,BLACK WIDOW
Q441510,CATE SHORTLAND,Q25212771,BERLIN SYNDROME
Q1442102,FRANCISCO HERRADA MARIN,Q101679521,LA LLARGA AGONIA DELS PEIXOS FORA DE L'AIGUA
Q1442102,FRANCISCO HERRADA MARIN,Q1052641,TEPEPA
Q1442102,FRANCISCO HERRADA MARIN,Q3716052,DUE VOLTE GIUDA
Q1442102,FRANCISCO HERRADA MARIN,Q1232047,LA AMETRALLADORA
Q1442102,FRANCISCO HERRADA MARIN,Q3716052,SHOOT TWICE
Q1442102,FRANCISCO HERRADA MARIN,Q1232047,GATLING GUN
Q1442102,FRANCISCO HERRADA MARIN,Q60068173,AOOM
Q1442102,FRANCISCO HERRADA MARIN,Q16820264,I CENTO CAVALIERI
Q1442102,FRANCISCO HERRADA MARIN,Q1052641,TETEPANGO
Q1442102,FRANCISCO HERRADA MARIN,Q1267139,WILD KURDISTAN
Q1442102,FRANCISCO HERRADA MARIN,Q1306579,A PISTOL FOR RINGO
Q1442102,FRANCISCO HERRADA MARIN,Q1517788,THE RETURN OF RINGO
Q1442102,FRANCISCO HERRADA MARIN,Q16820264,100 HORSEMEN
Q1442102,FRANCISCO HERRADA MARIN,Q98907740,VAMOS A CONTAR MENTIRAS
Q1442102,FRANCISCO HERRADA MARIN,Q24514581,TIERRA DE TODOS
Q1442102,FRANCISCO HERRADA MARIN,Q1267139,DURCHS WILDE KURDISTAN
Q1442102,FRANCISCO HERRADA MARIN,Q1306579,UNA PISTOLA PER RINGO
Q1442102,FRANCISCO HERRADA MARIN,Q1517788,IL RITORNO DI RINGO
Q1442102,FRANCISCO HERRADA MARIN,Q1659437,IM REICHE DES SILBERNEN LOWEN
Q1442102,FRANCISCO HERRADA MARIN,Q20814784,SUPERARGO VERSUS DIABOLICUS
Q1442102,FRANCISCO HERRADA MARIN,Q20814784,SUPERARGO CONTRO DIABOLIKUS
Q1442102,FRANCISCO HERRADA MARIN,Q1071799,I LUNGHI GIORNI DELLA VENDETTA
Q1442102,FRANCISCO HERRADA MARIN,Q2276680,GENTLEMAN KILLER
Q1442102,FRANCISCO HERRADA MARIN,Q3922584,PROFESSIONISTI PER UN MASSACRO
Q1442102,FRANCISCO HERRADA MARIN,Q24514581,A LAND FOR ALL
Q1442102,FRANCISCO HERRADA MARIN,Q2276680,GENTLEMAN JO... UCCIDI
Q17020824,JESSICA SWALE,Q60737844,SUMMERLAND
Q17020824,JESSICA SWALE,Q61977862,HORRIBLE HISTORIES: THE MOVIE
Q17020824,JESSICA SWALE,Q96387127,LEADING LADY PARTS
Q95008,JOHN CARPENTER,Q12125556,LAST FOXTROT IN BURBANK
Q95008,JOHN CARPENTER,Q506580,DARK STAR
Q95008,JOHN CARPENTER,Q403033,ESCAPE FROM NEW YORK
Q95008,JOHN CARPENTER,Q1167579,GUANG RUYAN 
