creator_id,creator_name,work_id,work_name
80210,AARON ROSENBERG,93288,THE GLENN MILLER STORY
34373,AGNES VARDA,92856,VAGABOND
34373,AGNES VARDA,94941,THE GLEANERS AND I
34373,AGNES VARDA,92708,CLEO FROM 5 TO 7
34373,AGNES VARDA,115910,LES CREATURES
34373,AGNES VARDA,92706,JACQUOT DE NANTES [WIDESCREEN]
12551,ALAN RAVENSCROFT,64857,AQUARIUS: SOLO FOR 2 PEOPLE
6829,CATE SHORTLAND,114250,JOY
6829,CATE SHORTLAND,108208,PENTUPHOUSE
6829,CATE SHORTLAND,108403,JOY
6829,CATE SHORTLAND,108618,FLOWERGIRL
6829,CATE SHORTLAND,109217,PARA PARA PARADISE
6829,CATE SHORTLAND,90526,PENTUPHOUSE
6829,CATE SHORTLAND,90523,FLOWERGIRL
51535,JOHN CARPENTER,84848,THEY LIVE
51535,JOHN CARPENTER,86881,STARMAN
51535,JOHN CARPENTER,86780,ASSAULT ON PRECINCT 13
51535,JOHN CARPENTER,87801,HALLOWEEN
51535,JOHN CARPENTER,92333,ESCAPE FROM NEW YORK
51535,JOHN CARPENTER,88253,JOHN CARPENTER'S VAMPIRES
51535,JOHN CARPENTER,94117,GHOSTS OF MARS (COLLECTOR'S EDITION)
51535,JOHN CARPENTER,83056,DARK STAR
51535,JOHN CARPENTER,92903,CHRISTINE [DVD]
51535,JOHN CARPENTER,93400,HALLOWEEN
51535,JOHN CARPENTER,89497,THE THING [DVD]
51535,JOHN CARPENTER,80583,HALLOWEEN (CAPTIONED)
75394,MARIANNE MEPERHOFF,73479,A TALE OF TILL
26751,MICHAEL FIELD,84857,PRECISION AIKIDO 2
26751,MICHAEL FIELD,84858,PRECISION AIKIDO 3
26751,MICHAEL FIELD,84856,PRECISION AIKIDO 1
74270,MUIR MATHIESON,71210,THE ORGAN. PART 1
74270,MUIR MATHIESON,68982,INSTRUMENTS OF THE ORCHESTRA
74270,MUIR MATHIESON,68256,THE GUITAR
74270,MUIR MATHIESON,74390,THE VIOLIN: MANOUG PARIKIAN
74270,MUIR MATHIESON,76529,DEREK WICKENS: THE OBOE
74270,MUIR MATHIESON,66159,THE CLARINET. PT. 2
74270,MUIR MATHIESON,68550,THE HORN. PART 1
74270,MUIR MATHIESON,69413,THE KING'S LIFE GUARD
74270,MUIR MATHIESON,66158,THE CLARINET. PT. 1
74270,MUIR MATHIESON,68551,THE HORN. PART 2
74270,MUIR MATHIESON,71205,THE ORCHESTRA
74270,MUIR MATHIESON,73853,TIMPANI
74270,MUIR MATHIESON,74391,THE VIOLIN: MANOUG PARIKIAN
74270,MUIR MATHIESON,71545,THE PIANO. PART 1
74270,MUIR MATHIESON,69553,LEARNING IN BRITAIN
74270,MUIR MATHIESON,74021,THE TROMBONE
74270,MUIR MATHIESON,65896,PAUL TORTELIER: THE CELLO. PART 1
74270,MUIR MATHIESON,65897,PAUL TORTELIER: THE CELLO. PART 2
74270,MUIR MATHIESON,68332,THE HARP
74270,MUIR MATHIESON,71206,ORCHESTRAL PERCUSSION
74270,MUIR MATHIESON,71546,THE PIANO. PART 2
74270,MUIR MATHIESON,70284,MELODIC PERCUSSION
74270,MUIR MATHIESON,73195,STEPS OF THE BALLET
74270,MUIR MATHIESON,65597,A BRIDGE IN MUSIC
74270,MUIR MATHIESON,65251,THE BASSOON
74270,MUIR MATHIESON,83384,CARVE HER NAME WITH PRIDE
83064,NADINE TRINTIGNANT,115987,LE VOLEUR DE CRIMES
83064,NADINE TRINTIGNANT,116446,UN INNOCENT
83064,NADINE TRINTIGNANT,115982,DEFENSE DE SAVOIR
74427,THEODORE CONANT,69449,[KOREAN ARTIST] (TEFC)
74427,THEODORE CONANT,66015,CHILD OF THE FUTURE: HOW HE MIGHT LEARN
74427,THEODORE CONANT,66148,CITY UNDER PRESSURE
74427,THEODORE CONANT,87804,EXPERIENCED HANDS: A STUDY IN CONTINUING EDUCATION
