agent_id,agent_label,work_id,work_label
21446,Bob Ellis,79357,Newsfront
11119,Phil Noyce,79357,Newsfront
8896,Tony Ayres,108800,Sadness: a monologue by William Yang
43384,Jack Anderson,117856,[John Anderson Home Movies: Reel 13]
79598,Simon Target,91601,Bedtimes over
15193,Roger Mirams,86067,Funny things happen down under
13715,Michael Thornhill,80701,The FJ Holden
86406,Mandy Walker,115739,Love serenade
8330,Shirley Barrett,115739,Love serenade
6720,Sue Ford,120100,Woman in a house
8745,Nigel Buesst,120100,Woman in a house
12749,Australian War Memorial,87146,Voices from a war (MAC & PC)
74396,Martyn Sanderson,73205,A Stone in the bush
15100,Brian Kavanagh,69300,Joyful and triumphant
16132,Tal Ordell,69386,The Kid Stakes
12016,David Bairstow,69340,Kangaroos. Part 1. Biography [Italian version]
19395,Barry Pierce,76770,Bet your life
7927,Jan Sharp,75346,Niki
31652,Paul Field,89714,Captain Feathersword the friendly pirate
43384,Jack Anderson,114489,[John Anderson Home Movies: Reel 36]
11028,Armagan Ballantyne,110145,Little echo lost
76210,Jack Egan,79432,Cricket in Australia
19395,Barry Pierce,75940,RSVP = Retired Senior Volunteer Programme
19049,Bob Connolly,75940,RSVP = Retired Senior Volunteer Programme
6571,Daniel Crooks,108516,On perspective and motion
85169,GMV-6 Shepparton,119299,[Ned Kelly cummerbund]
14931,Martha Ansara,79053,My survival as an Aboriginal
14931,Martha Ansara,122457,Always Was Always Will Be
12170,Suzanne Baker,64587,After the Flood
14931,Martha Ansara,79286,The Pursuit of happiness
12170,Suzanne Baker,77387,The Nest egg
74759,Justin Milne,76703,Breaking point
27090,ICON,94983,Thunderstruck
7252,Trevor Graham,86116,Mabo: the life of an Island man (Captioned)
20692,Paul Cox,84794,Underdog
12323,R. Maslyn Williams,65027,At the sign of the owl
8316,Patrick Ryan,67297,The Explorer
10241,Rolf De Heer,84978,Bad boy Bubby
77777,Domenico Procacci,84978,Bad boy Bubby
13900,Bruce Beresford,80719,The Adventures of Barry McKenzie
20431,Chris Owen,81610,Man Without Pigs
12064,Gil Brealey,79879,John Norton
12064,Gil Brealey,65918,The Challenge
13029,Alan Burke,79660,Kindred spirits
22794,Claude Whatham,95620,Hoodwink [DVD]
43384,Jack Anderson,99992,[John Anderson Home Movies: Reel 32]
8347,Sue Brooks,108548,The Drover's wife
15193,Roger Mirams,90282,The Jolly swagman. [Parts 1 and 2]
12170,Suzanne Baker,86278,Jane (TEFC)
12323,R. Maslyn Williams,70379,Mike and Stefani
84432,ABC,96315,Ghost town
12797,Donald Crombie,75429,Who killed Jenny Langby?
7072,Richard Frankland,84810,When dreaming paths meet
84432,ABC,70249,Media school
10977,Ray Argall,83989,Return home
76469,Jim Sharman,80847,The Night the Prowler
74451,Anthony Buckley,80847,The Night the Prowler
19197,Bob Weis,97614,Proud to live
30152,Stephen Hopkins,94644,Dangerous game
13379,Frank Hurley,65644,Brown coal to briquettes
84432,ABC,66232,The Colonial chair
19152,Maureen McCarthy,98358,You've got to start somewhere
12016,David Bairstow,69341,Kangaroos. Part 2. Varieties
43384,Jack Anderson,117822,[John Anderson Home Movies: Reel 7]
19156,Geoff Burrowes,79560,The Man from Snowy River II
13379,Frank Hurley,65645,Brown coal to kilowatts
73938,Robert Edwards,90328,Flint miners of the Nullabor
84432,ABC,75275,Secret world: around the bay
14079,Noel Monkman,88275,Australia's coral wonderland
19883,Albie Thoms,80004,Palm Beach
