acmi_id,acmi_name,wikidata_id,wikidata_name,match
38849,MICHAEL SULLIVAN,Q3310736,MICHEL ROBIN,55
38849,MICHAEL SULLIVAN,Q722890,MICHAEL WINNER,54
38849,MICHAEL SULLIVAN,Q12036810,MICHAL SUCHANEK,53
38849,MICHAEL SULLIVAN,Q11723048,CHANTAL POULLAIN,53
38849,MICHAEL SULLIVAN,Q1929137,MICHAEL SACKS,52
38849,MICHAEL SULLIVAN,Q525318,MICHAEL PARKS,52
38849,MICHAEL SULLIVAN,Q3060259,MICHAEL MORITZEN,52
38849,MICHAEL SULLIVAN,Q124112,MICHEL SIMON,50
38849,MICHAEL SULLIVAN,Q230084,MAUREEN O'SULLIVAN,50
38849,MICHAEL SULLIVAN,Q6833107,MICHAEL NOZIK,50
38849,MICHAEL SULLIVAN,Q88693071,SEBASTIAN MICHAEL,50
38849,MICHAEL SULLIVAN,Q14087086,MICHAEL POLISH,50
38849,MICHAEL SULLIVAN,Q318088,MICHEL SERRAULT,49
38849,MICHAEL SULLIVAN,Q3308567,MICHAEL VISAROFF,49
38849,MICHAEL SULLIVAN,Q270660,MICHAEL VARTAN,49
38849,MICHAEL SULLIVAN,Q1383268,MICHAEL USLAN,49
38849,MICHAEL SULLIVAN,Q439955,MICHAEL WOLFF,49
38849,MICHAEL SULLIVAN,Q6833913,MICHAEL ROBERTSON,49
38849,MICHAEL SULLIVAN,Q3311019,MICHEL VADET,48
38849,MICHAEL SULLIVAN,Q358513,MICHEL SARDOU,48
38849,MICHAEL SULLIVAN,Q79152,MICHEL MULLER,48
38849,MICHAEL SULLIVAN,Q9032829,MIGUEL RELLAN,48
38849,MICHAEL SULLIVAN,Q18386860,CHARLES SULLIVAN,48
38849,MICHAEL SULLIVAN,Q601625,MICHAEL SARRAZIN,48
38849,MICHAEL SULLIVAN,Q364348,TULIO DEMICHELI,48
38849,MICHAEL SULLIVAN,Q928353,MICHAEL PATE,48
38849,MICHAEL SULLIVAN,Q3308598,MICHAEL ZEGEN,48
38849,MICHAEL SULLIVAN,Q1189681,MICHAEL RISPOLI,48
38849,MICHAEL SULLIVAN,Q261694,TRINA MICHAELS,48
38849,MICHAEL SULLIVAN,Q6832937,MICHAEL MOSHONOV,48
38849,MICHAEL SULLIVAN,Q359488,MICHAEL PENA,47
38849,MICHAEL SULLIVAN,Q41449,MICHAEL SHANNON,47
38849,MICHAEL SULLIVAN,Q7177181,PETER SULLIVAN,47
38849,MICHAEL SULLIVAN,Q1929190,MICHAEL SCHENK,47
38849,MICHAEL SULLIVAN,Q25871,MICHAEL WILSON,47
38849,MICHAEL SULLIVAN,Q15835092,MICHAEL SCHAERER,47
38849,MICHAEL SULLIVAN,Q16186952,MICHAEL SHAMUS WILES,47
38849,MICHAEL SULLIVAN,Q809105,BARRY SULLIVAN,47
38849,MICHAEL SULLIVAN,Q706508,MISCHA SPOLIANSKY,47
38849,MICHAEL SULLIVAN,Q6834335,MICHAEL SHEA,47
38849,MICHAEL SULLIVAN,Q22075534,MICHAEL SUGAR,47
38849,MICHAEL SULLIVAN,Q313639,MICHAEL NYMAN,46
38849,MICHAEL SULLIVAN,Q3752767,FREDERIC RICHARD SULLIVAN,46
38849,MICHAEL SULLIVAN,Q3428556,MICHAEL WARREN,46
38849,MICHAEL SULLIVAN,Q3308524,MICHAEL SPENCER,46
38849,MICHAEL SULLIVAN,Q16185694,MICHEL PUTERFLAM,46
38849,MICHAEL SULLIVAN,Q55234,MICHAEL POWELL,46
38849,MICHAEL SULLIVAN,Q707500,MICHAEL WINCOTT,46
38849,MICHAEL SULLIVAN,Q3856276,MICHAEL SUBY,46
38849,MICHAEL SULLIVAN,Q513098,FRANK SULLIVAN,46
38849,MICHAEL SULLIVAN,Q1416701,MICHEL TUREAU,45
38849,MICHAEL SULLIVAN,Q712670,MICHAEL NOURI,45
38849,MICHAEL SULLIVAN,Q541058,MICHAEL TAVERA,45
38849,MICHAEL SULLIVAN,Q1516833,MICHAEL MINKLER,45
38849,MICHAEL SULLIVAN,Q15453718,MICHAEL TALIFERRO,45
38849,MICHAEL SULLIVAN,Q156796,MICHELLE WILLIAMS,45
38849,MICHAEL SULLIVAN,Q7152496,PAUL MICHAEL,45
38849,MICHAEL SULLIVAN,Q6835627,MICHAELA WATKINS,45
38849,MICHAEL SULLIVAN,Q13414756,ORNELLA MICHELI,45
38849,MICHAEL SULLIVAN,Q22040993,MICHAEL SCHLAMBERGER,45
38849,MICHAEL SULLIVAN,Q6834595,MICHAEL STEINBERG,45
38849,MICHAEL SULLIVAN,Q6676514,MICHAEL SHAOWANASAI,45
38849,MICHAEL SULLIVAN,Q5028073,CAMPBELL GULLAN,45
38849,MICHAEL SULLIVAN,Q26898924,MICHAEL STILLWATER,45
38849,MICHAEL SULLIVAN,Q1951242,MOYA O'SULLIVAN,45
38849,MICHAEL SULLIVAN,Q6834453,MICHAEL SLOVIS,45
38849,MICHAEL SULLIVAN,Q2741452,C. GARDNER SULLIVAN,45
38849,MICHAEL SULLIVAN,Q1930952,MICHEL VUILLERMOZ,45
38849,MICHAEL SULLIVAN,Q500990,CHASE ELLISON,45
38849,MICHAEL SULLIVAN,Q64797085,MICHAEL RAGEN,45
38849,MICHAEL SULLIVAN,Q460578,MICHAEL G. WILSON,45
38849,MICHAEL SULLIVAN,Q298276,MICHAEL SHEEN,45
38849,MICHAEL SULLIVAN,Q1928816,MICHAEL PALM,45
38849,MICHAEL SULLIVAN,Q557398,DON MICHAEL PAUL,45
38849,MICHAEL SULLIVAN,Q672357,MICHAEL PARE,44
38849,MICHAEL SULLIVAN,Q64368832,MICHAEL SCHWARTZ,44
38849,MICHAEL SULLIVAN,Q1385992,MICHAEL WILDING,44
38849,MICHAEL SULLIVAN,Q65754397,MICHAEL WIENER,44
38849,MICHAEL SULLIVAN,Q1346499,MICHAEL PRAED,44
38849,MICHAEL SULLIVAN,Q729129,MICHAEL NADER,44
38849,MICHAEL SULLIVAN,Q352540,MICHAEL PITT,44
38849,MICHAEL SULLIVAN,Q2371728,MICHAEL SABATINO,44
38849,MICHAEL SULLIVAN,Q223985,MICHAEL PALIN,44
38849,MICHAEL SULLIVAN,Q1723945,MICHAEL SCHULTZ,44
38849,MICHAEL SULLIVAN,Q19665627,MICHAEL A. SIMON,44
38849,MICHAEL SULLIVAN,Q6834458,MICHAEL SMILEY,44
38849,MICHAEL SULLIVAN,Q5954169,JUDITH SULIAN,44
38849,MICHAEL SULLIVAN,Q1929590,MICHAEL TOOST,44
38849,MICHAEL SULLIVAN,Q6834963,MICHAEL TRUBSHAWE,44
38849,MICHAEL SULLIVAN,Q6834973,MICHAEL TUCHNER,44
38849,MICHAEL SULLIVAN,Q13409484,MICHAEL SHAMBERG,44
38849,MICHAEL SULLIVAN,Q1662316,MITCHELL RYAN,44
38849,MICHAEL SULLIVAN,Q6835109,MICHAEL VINER,44
38849,MICHAEL SULLIVAN,Q2150321,RICHARD O'SULLIVAN,44
38849,MICHAEL SULLIVAN,Q18192239,MICHAEL SHARFSTEIN,44
38849,MICHAEL SULLIVAN,Q90913834,RAINER MICHEL,44
38849,MICHAEL SULLIVAN,Q448414,SHARON MITCHELL,44
38849,MICHAEL SULLIVAN,Q83677,MICHAEL WESTON,44
38849,MICHAEL SULLIVAN,Q1145137,MICHAEL OSTROWSKI,44
38849,MICHAEL SULLIVAN,Q88796,MICHAEL NIAVARANI,44
38849,MICHAEL SULLIVAN,Q978129,MICHAEL TOLAN,44
38849,MICHAEL SULLIVAN,Q74899,MICHAEL PFLEGHAR,44
38849,MICHAEL SULLIVAN,Q314945,MICHAEL RICHARDS,43
38849,MICHAEL SULLIVAN,Q1929848,MICHAEL WILLIAMS,43
38849,MICHAEL SULLIVAN,Q521087,MICHAEL WAYNE,43
38849,MICHAEL SULLIVAN,Q6836555,MICHEL RUBINI,43
38849,MICHAEL SULLIVAN,Q1655483,IAN CARMICHAEL,43
38849,MICHAEL SULLIVAN,Q6835479,MICHAEL YEBBA,43
38849,MICHAEL SULLIVAN,Q283451,MIKHAIL SUSLOV,43
38849,MICHAEL SULLIVAN,Q3311701,MICHELE SIMONNET,43
38849,MICHAEL SULLIVAN,Q561288,MICHEL SUBOR,43
38849,MICHAEL SULLIVAN,Q29280950,MICHAEL SIMPSON,43
38849,MICHAEL SULLIVAN,Q18810221,BILLY SULLIVAN,43
38849,MICHAEL SULLIVAN,Q18935991,MICHAEL NOER,43
38849,MICHAEL SULLIVAN,Q863160,BILLY L. SULLIVAN,43
38849,MICHAEL SULLIVAN,Q487382,MICHAEL SERESIN,43
38849,MICHAEL SULLIVAN,Q31317,SHAWN MICHAELS,43
38849,MICHAEL SULLIVAN,Q3310846,MICHEL SELDOW,43
38849,MICHAEL SULLIVAN,Q1930904,MICHEL RUHL,43
38849,MICHAEL SULLIVAN,Q6594505,MICHAEL WARSHAVIAK,43
38849,MICHAEL SULLIVAN,Q2090275,MICHAEL POGHOSYAN,43
38849,MICHAEL SULLIVAN,Q948751,MICHAEL PAPAJOHN,43
38849,MICHAEL SULLIVAN,Q52161671,MICHAEL SCOTT,43
38849,MICHAEL SULLIVAN,Q3308532,MICHAEL SPILLER,43
38849,MICHAEL SULLIVAN,Q22672576,MICHAEL RIEBL,43
38849,MICHAEL SULLIVAN,Q233707,MICHELLE RYAN,43
38849,MICHAEL SULLIVAN,Q234709,SHAY MITCHELL,43
38849,MICHAEL SULLIVAN,Q238036,MARGARET SULLAVAN,43
38849,MICHAEL SULLIVAN,Q3307969,MICHAEL A. STEVENSON,43
38849,MICHAEL SULLIVAN,Q24733376,MICHAEL PALMIERI,43
38849,MICHAEL SULLIVAN,Q670440,MICHAEL PARENTI,43
38849,MICHAEL SULLIVAN,Q2554351,MICHAEL PAS,43
38849,MICHAEL SULLIVAN,Q2779448,MICHAEL MIZRAHI,43
38849,MICHAEL SULLIVAN,Q3133673,JULIAN GIL,43
38849,MICHAEL SULLIVAN,Q6833736,MICHAEL RALPH,43
38849,MICHAEL SULLIVAN,Q13405921,MICHAEL MUSTO,43
38849,MICHAEL SULLIVAN,Q1559903,MICHAEL VALE,43
