acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
32564,"SPASTIC CENTRE, MOSMAN",Q3369365,PATRICK CREADON,HERE IS A PLAN; THE HOUSE ON ANY STREET; AND THIS FOR THE COUNTRY CHILDREN,RASCALS AND ROBBERS: THE SECRET ADVENTURES OF TOM SAWYER AND HUCKLEBERRY FINN,49
32564,"SPASTIC CENTRE, MOSMAN",Q366057,PATRICE CHEREAU,HERE IS A PLAN; THE HOUSE ON ANY STREET; AND THIS FOR THE COUNTRY CHILDREN,THOSE WHO LOVE ME CAN TAKE THE TRAIN,41
32564,"SPASTIC CENTRE, MOSMAN",Q7145940,PATRICIO CONTRERAS,HERE IS A PLAN; THE HOUSE ON ANY STREET; AND THIS FOR THE COUNTRY CHILDREN,NO TOQUEN A LA NENA,33
32564,"SPASTIC CENTRE, MOSMAN",Q65200251,MILAN SPASIC,HERE IS A PLAN; THE HOUSE ON ANY STREET; AND THIS FOR THE COUNTRY CHILDREN,THE DAYS ON EARTH ARE FLOWING,38
32564,"SPASTIC CENTRE, MOSMAN",Q558440,PLASTIC BERTRAND,HERE IS A PLAN; THE HOUSE ON ANY STREET; AND THIS FOR THE COUNTRY CHILDREN,CASABLANCA DRIVER,20
32564,"SPASTIC CENTRE, MOSMAN",Q2377808,PATRICK CARMAN,HERE IS A PLAN; THE HOUSE ON ANY STREET; AND THIS FOR THE COUNTRY CHILDREN,FINAL REPRISAL,23
32564,"SPASTIC CENTRE, MOSMAN",Q3168311,JEAN-PATRICK BENES,HERE IS A PLAN; THE HOUSE ON ANY STREET; AND THIS FOR THE COUNTRY CHILDREN,I DIDN'T DO IT!,28
32564,"SPASTIC CENTRE, MOSMAN",Q3712957,DOMENICO CENTAMORE,HERE IS A PLAN; THE HOUSE ON ANY STREET; AND THIS FOR THE COUNTRY CHILDREN,THE MAFIA KILLS ONLY IN SUMMER,35
32564,"SPASTIC CENTRE, MOSMAN",Q95792015,DEJAN SPASIC,HERE IS A PLAN; THE HOUSE ON ANY STREET; AND THIS FOR THE COUNTRY CHILDREN,FOREVER,15
32564,"SPASTIC CENTRE, MOSMAN",Q88966965,PATRICK MCERLEAN,HERE IS A PLAN; THE HOUSE ON ANY STREET; AND THIS FOR THE COUNTRY CHILDREN,SEVEN STAGES TO ACHIEVE ETERNAL BLISS,39
