acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
76934,FUMIHIKO NINOMIYA,Q55207,NIKITA MIKHALKOV,TAIWAN; SOUTH KOREA,STATION FOR TWO,48
76934,FUMIHIKO NINOMIYA,Q15405919,MICHIKO OIKAWA,TAIWAN; SOUTH KOREA,JAPANESE GIRLS AT THE HARBOR,35
76934,FUMIHIKO NINOMIYA,Q11473307,FUMIKO OKAMURA,TAIWAN; SOUTH KOREA,JUBILATION STREET,29
76934,FUMIHIKO NINOMIYA,Q11352262,ATSUKO ICHINOMIYA,TAIWAN; SOUTH KOREA,Q11607039,0
76934,FUMIHIKO NINOMIYA,Q1990895,NINA MENSHIKOVA,TAIWAN; SOUTH KOREA,A MOTHER'S HEART,41
76934,FUMIHIKO NINOMIYA,Q17223364,FUMIO OMACHI,TAIWAN; SOUTH KOREA,Q95680233,0
76934,FUMIHIKO NINOMIYA,Q3879473,NUNZIA FUMO,TAIWAN; SOUTH KOREA,PARIGI O CARA,45
76934,FUMIHIKO NINOMIYA,Q16300612,MARIA FIORENTINO,TAIWAN; SOUTH KOREA,OF LOVE AND SHADOWS,38
76934,FUMIHIKO NINOMIYA,Q11590467,FUMIO KONAMI,TAIWAN; SOUTH KOREA,Q50897731,0
76934,FUMIHIKO NINOMIYA,Q83399932,NINA MINKOVA,TAIWAN; SOUTH KOREA,RUSKIYAT KONSUL,42
76934,FUMIHIKO NINOMIYA,Q2305052,KUMIKO NISHIHARA,TAIWAN; SOUTH KOREA,SAKURA WARS: THE MOVIE,51
76934,FUMIHIKO NINOMIYA,Q1142856,FUMIHIKO TACHIKI,TAIWAN; SOUTH KOREA,CASE CLOSED: COUNTDOWN TO HEAVEN,37
76934,FUMIHIKO NINOMIYA,Q1931106,MICHIKO NOMURA,TAIWAN; SOUTH KOREA,GANBARE! GIAN!!,40
76934,FUMIHIKO NINOMIYA,Q2407643,FUMIYA FUJII,TAIWAN; SOUTH KOREA,RED SHADOW,50
76934,FUMIHIKO NINOMIYA,Q1075083,MICHIKO NISHIWAKI,TAIWAN; SOUTH KOREA,MAN ON THE MOON,30
76934,FUMIHIKO NINOMIYA,Q362277,KAZUNARI NINOMIYA,TAIWAN; SOUTH KOREA,AO NO HONO,36
76934,FUMIHIKO NINOMIYA,Q49547,FUMIKO ORIKASA,TAIWAN; SOUTH KOREA,BLEACH: THE DIAMONDDUST REBELLION,36
76934,FUMIHIKO NINOMIYA,Q1322624,MICHIKO NEYA,TAIWAN; SOUTH KOREA,FULLMETAL ALCHEMIST THE MOVIE: CONQUEROR OF SHAMBALLA,26
76934,FUMIHIKO NINOMIYA,Q11373029,FUMIO INOUE,TAIWAN; SOUTH KOREA,PING PONG,22
76934,FUMIHIKO NINOMIYA,Q2478406,FUMIHIKO SORI,TAIWAN; SOUTH KOREA,ASHITA NO JOE,39
76934,FUMIHIKO NINOMIYA,Q23289282,FUMIHIRO HAYASHI,TAIWAN; SOUTH KOREA,LOST IN TRANSLATION,43
76934,FUMIHIKO NINOMIYA,Q1202557,HIROKI NARIMIYA,TAIWAN; SOUTH KOREA,KAGEN NO TSUKI,44
76934,FUMIHIKO NINOMIYA,Q3090832,FUMIHIKO TAKAYAMA,TAIWAN; SOUTH KOREA,SWORD OF THE STRANGER,41
76934,FUMIHIKO NINOMIYA,Q6782345,MASAHIKO MINAMI,TAIWAN; SOUTH KOREA,SWORD OF THE STRANGER,41
76934,FUMIHIKO NINOMIYA,Q11627275,FUYUHIKO NISHI,TAIWAN; SOUTH KOREA,HIGH KICK GIRL!,31
76934,FUMIHIKO NINOMIYA,Q11419574,HIROSHI SHINOMIYA,TAIWAN; SOUTH KOREA,Q11190884,0
76934,FUMIHIKO NINOMIYA,Q1473870,NINA GUMMICH,TAIWAN; SOUTH KOREA,BRIDGE OF SPIES,36
76934,FUMIHIKO NINOMIYA,Q17212535,KEITA NINOMIYA,TAIWAN; SOUTH KOREA,WE ARE LITTLE ZOMBIES,31
76934,FUMIHIKO NINOMIYA,Q61787653,HIKARI NINOMIYA,TAIWAN; SOUTH KOREA,Q97310946,0
