acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
81824,ERIC MERTON,Q2157033,ROBERT ERICKSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],MONSTERS RESURRECTED,28
81824,ERIC MERTON,Q6234251,JOHN FRICKER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],HOW TO BECOME A CRIMINAL MASTERMIND,37
81824,ERIC MERTON,Q50764,ERIC ROHMER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],"PRESENTATION, OR CHARLOTTE AND HER STEAK",42
81824,ERIC MERTON,Q21004351,ERICH MENZEL,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],MANNESMANN - EIN FILM DER MANNESMANNROHREN-WERKE,32
81824,ERIC MERTON,Q49962762,RON OFER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q49962647,0
81824,ERIC MERTON,Q5386861,ERIC KABERA,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],KEEPERS OF MEMORY,24
81824,ERIC MERTON,Q936089,METIN ERKSAN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE ANGEL OF VENGEANCE - THE FEMALE HAMLET,39
81824,ERIC MERTON,Q23831264,ERIC ROCHAT,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],STORY OF O - CHAPTER 2,26
81824,ERIC MERTON,Q576436,ERNESTO ALTERIO,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE OTHER SIDE OF THE BED,38
81824,ERIC MERTON,Q12035881,MARTIN CECH,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE MELANCHOLIC CHICKEN,25
81824,ERIC MERTON,Q2470168,EDDIE ROMERO,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE PASSIONATE STRANGERS,33
81824,ERIC MERTON,Q235333,BRITT ROBERTSON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],KEEPING UP WITH THE STEINS,32
81824,ERIC MERTON,Q207969,ERIC ROBERTS,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE GREAT HALLOWEEN PUPPY ADVENTURE,44
81824,ERIC MERTON,Q5057151,CEDRIC SMITH,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],LEONARDO: A DREAM OF FLIGHT,34
81824,ERIC MERTON,Q769826,MARTIN FRIC,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE HARD LIFE OF AN ADVENTURER,40
81824,ERIC MERTON,Q17278849,MARTIN BENC,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q104896071,0
81824,ERIC MERTON,Q108073340,DENIS IMBERT,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],VICKY,8
81824,ERIC MERTON,Q12004798,FERO FENIC,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q104896140,0
81824,ERIC MERTON,Q61441,ERICH POMMER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE MAN IN SEARCH OF HIS MURDERER,41
81824,ERIC MERTON,Q28090635,MARTIN HOLEC,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q104894930,0
81824,ERIC MERTON,Q3131932,HENRI ROLLAN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],LE CHEVALIER A TETE DE POIREAU,38
81824,ERIC MERTON,Q1895800,MARIA EHRICH,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],MY BROTHER IS A DOG,28
81824,ERIC MERTON,Q106622317,ERICK OH,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],OPERA,13
81824,ERIC MERTON,Q95093627,ROMAN RICAR,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q104895650,0
81824,ERIC MERTON,Q3591372,ERIC TESSIER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],THE PEE-WEE 3D: THE WINTER THAT CHANGED MY LIFE,38
81824,ERIC MERTON,Q33191578,BEDRICH SETENA,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],TOMORROW I'LL WAKE UP AND SCALD MYSELF WITH TEA,33
81824,ERIC MERTON,Q12025678,JIRI STEDRON,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],POPELKA,10
81824,ERIC MERTON,Q5499462,FREDRIK GERTTEN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],BIG BOYS GONE BANANAS!*,29
81824,ERIC MERTON,Q1351291,ERIC FELLNER,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],BRIDGET JONES: THE EDGE OF REASON,45
81824,ERIC MERTON,Q3491424,BEDRICH MOLDAN,[TARONGA PARK; SYDNEY HARBOUR BRIDGE; THE GREAT BARRIER REEF; PEEPING AT PERTH],Q104898054,0
