acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
38410,LEE W. GLUCKMAN,Q488838,LEE HYUN-WOO,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,"SECRETLY, GREATLY",26
38410,LEE W. GLUCKMAN,Q488838,LEE HYUN-WOO,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,"SATURDAY, 2:00 PM",23
38410,LEE W. GLUCKMAN,Q20993783,KARL GLUSMAN,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,THE NEON DEMON,37
38410,LEE W. GLUCKMAN,Q20993783,KARL GLUSMAN,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,THE NEON DEMON,43
38410,LEE W. GLUCKMAN,Q108067514,LEE WOO-JUNG,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,SNOWBALL,11
38410,LEE W. GLUCKMAN,Q108067514,LEE WOO-JUNG,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,SNOWBALL,18
38410,LEE W. GLUCKMAN,Q6529556,LES GUTHMAN,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,SKIING EVEREST,27
38410,LEE W. GLUCKMAN,Q6529556,LES GUTHMAN,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,CORWIN,23
38410,LEE W. GLUCKMAN,Q726107,CLYDE BRUCKMAN,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,THE TAMING OF THE SNOOD,41
38410,LEE W. GLUCKMAN,Q726107,CLYDE BRUCKMAN,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,THE TAMING OF THE SNOOD,43
38410,LEE W. GLUCKMAN,Q6513502,LEE DUNCAN,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,WHERE THE NORTH BEGINS,33
38410,LEE W. GLUCKMAN,Q6513502,LEE DUNCAN,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,WHERE THE NORTH BEGINS,37
38410,LEE W. GLUCKMAN,Q12611042,LEE GYU-HWAN,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,A TROUPE OF STROLLING ACTORS,36
38410,LEE W. GLUCKMAN,Q12611042,LEE GYU-HWAN,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,A TROUPE OF STROLLING ACTORS,43
38410,LEE W. GLUCKMAN,Q230184,LEE GRANT,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,CHARLIE CHAN AND THE CURSE OF THE DRAGON QUEEN,46
38410,LEE W. GLUCKMAN,Q230184,LEE GRANT,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,DOWN AND OUT IN AMERICA,53
38410,LEE W. GLUCKMAN,Q6514357,LEE KWAN,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,WU LEI HONG DING,36
38410,LEE W. GLUCKMAN,Q6514357,LEE KWAN,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,WU LEI HONG DING,38
38410,LEE W. GLUCKMAN,Q6530587,LESLIE ACKERMAN,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,THE FIRST NUDIE MUSICAL,32
38410,LEE W. GLUCKMAN,Q6530587,LESLIE ACKERMAN,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,THE FIRST NUDIE MUSICAL,37
38410,LEE W. GLUCKMAN,Q5158111,CONAN LEE,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,NINJA IN THE DRAGON'S DEN,51
38410,LEE W. GLUCKMAN,Q5158111,CONAN LEE,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,NINJA IN THE DRAGON'S DEN,45
38410,LEE W. GLUCKMAN,Q890421,MR. LEE GRANT,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,A VIEW TO A KILL,26
38410,LEE W. GLUCKMAN,Q890421,MR. LEE GRANT,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,A VIEW TO A KILL,34
38410,LEE W. GLUCKMAN,Q4730774,ALLAN LEE,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,SUSPICIOUS RIVER,30
38410,LEE W. GLUCKMAN,Q4730774,ALLAN LEE,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,ANYTHING FOR LOVE,30
38410,LEE W. GLUCKMAN,Q5043182,CARMAN LEE,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,THE FINAL OPTION,33
38410,LEE W. GLUCKMAN,Q5043182,CARMAN LEE,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,THE FINAL OPTION,42
38410,LEE W. GLUCKMAN,Q3378746,PHIL BUCKMAN,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,AN AMERICAN WEREWOLF IN PARIS,38
38410,LEE W. GLUCKMAN,Q3378746,PHIL BUCKMAN,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,AN AMERICAN WEREWOLF IN PARIS,33
38410,LEE W. GLUCKMAN,Q16262692,LEE KWANG-MO,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,SPRING IN MY HOMETOWN,33
38410,LEE W. GLUCKMAN,Q16262692,LEE KWANG-MO,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,SPRING IN MY HOMETOWN,34
38410,LEE W. GLUCKMAN,Q6522368,LENE BORGLUM,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,MANDERLAY,26
38410,LEE W. GLUCKMAN,Q6522368,LENE BORGLUM,THE MOON AND HOW IT AFFECTS US. - 2ND ED.,ONLY GOD FORGIVES,30
38410,LEE W. GLUCKMAN,Q12611818,LEE SE-CHANG,EXPLORING SPACE: THE SUN AND ITS ENERGY. - 2ND ED.,CHIMHYANG,11
